Node Moved,From Cluster,To Cluster,Instantaneous Gain,Accumulated Gain,Potential
Bandar Alhazmi,out,in,50.35,50.35,-1391.70
Faisal Al Salmi,out,in,48.45,98.80,-1343.25
Rayed Mohammed Abdullah,out,in,48.55,147.35,-1294.70
Abu Zubeida,out,in,43.65,191.00,-1251.05
Jean-Marc Grandvisir,out,in,41.75,232.75,-1209.30
Nizar Trabelsi,out,in,39.85,272.60,-1169.45
Fahid al Shakri,out,in,37.95,310.55,-1131.50
Madjid Sahoune,out,in,36.05,346.60,-1095.45
Samir Kishk,out,in,34.15,380.75,-1061.30
Abdelghani Mzoudi,out,in,32.25,413.00,-1029.05
Ahmed Khalil Ibrahim Samir Al-Ani,out,in,30.35,443.35,-998.70
Lotfi Raissi,out,in,28.45,471.80,-970.25
Ahmed Alghamdi,out,in,26.55,498.35,-943.70
Mohamed Abdi,out,in,24.65,523.00,-919.05
Mamduh Mahmud Salim,out,in,22.75,545.75,-896.30
Nawaf Alhazmi,out,in,20.85,566.60,-875.45
Abdussattar Shaikh,out,in,20.95,587.55,-854.50
Osama Awadallah,out,in,21.05,608.60,-833.45
Ahmed Alnami,out,in,15.15,623.75,-818.30
Hamza Alghamdi,out,in,13.25,637.00,-805.05
Mohand Alshehri,out,in,12.35,649.35,-792.70
Saeed Alghamdi,out,in,10.45,659.80,-782.25
Ahmed Al Haznawi,out,in,8.55,668.35,-773.70
Nabil al-Marabh,out,in,6.65,675.00,-767.05
Raed Hijazi,out,in,5.75,680.75,-761.30
David Courtaillier,out,in,0.85,681.60,-760.45
