Node Moved,From Cluster,To Cluster,Instantaneous Gain,Accumulated Gain,Potential
11,out,in,28.70,28.70,-398.20
12,out,in,25.90,54.60,-372.30
17,out,in,24.10,78.70,-348.20
21,out,in,22.30,101.00,-325.90
9,out,in,20.50,121.50,-305.40
16,out,in,18.70,140.20,-286.70
5,out,in,16.90,157.10,-269.80
6,out,in,17.10,174.20,-252.70
4,out,in,14.30,188.50,-238.40
10,out,in,14.50,203.00,-223.90
0,out,in,11.70,214.70,-212.20
19,out,in,8.90,223.60,-203.30
1,out,in,7.10,230.70,-196.20
3,out,in,6.30,237.00,-189.90
7,out,in,6.50,243.50,-183.40
13,out,in,3.70,247.20,-179.70
2,out,in,2.90,250.10,-176.80
