Node Moved,From Cluster,To Cluster,Instantaneous Gain,Accumulated Gain,Potential
33,out,in,50.45,50.45,-1355.25
32,out,in,48.55,99.00,-1306.70
25,out,in,45.65,144.65,-1261.05
31,out,in,43.75,188.40,-1217.30
37,out,in,40.85,229.25,-1176.45
01,out,in,37.95,267.20,-1138.50
02,out,in,36.05,303.25,-1102.45
03,out,in,34.15,337.40,-1068.30
20,out,in,32.25,369.65,-1036.05
21,out,in,30.35,400.00,-1005.70
22,out,in,28.45,428.45,-977.25
38,out,in,26.55,455.00,-950.70
39,out,in,25.65,480.65,-925.05
44,out,in,22.75,503.40,-902.30
50,out,in,20.85,524.25,-881.45
57,out,in,18.95,543.20,-862.50
56,out,in,18.05,561.25,-844.45
08,out,in,14.15,575.40,-830.30
06,out,in,12.25,587.65,-818.05
04,out,in,12.35,600.00,-805.70
07,out,in,10.45,610.45,-795.25
09,out,in,10.55,621.00,-784.70
05,out,in,7.65,628.65,-777.05
10,out,in,5.75,634.40,-771.30
11,out,in,2.85,637.25,-768.45
30,in,out,1.15,638.40,-767.30
12,out,in,1.85,640.25,-765.45
