Node Moved,From Cluster,To Cluster,Instantaneous Gain,Accumulated Gain,Potential
Abu Zubeida,out,in,59.39,59.39,-1659.70
Jean-Marc Grandvisir,out,in,57.41,116.80,-1602.29
Nizar Trabelsi,out,in,55.43,172.23,-1546.86
Fahid al Shakri,out,in,53.45,225.68,-1493.41
Madjid Sahoune,out,in,51.47,277.15,-1441.94
Samir Kishk,out,in,49.49,326.64,-1392.45
Abdelghani Mzoudi,out,in,47.51,374.15,-1344.94
Ahmed Khalil Ibrahim Samir Al-Ani,out,in,45.53,419.68,-1299.41
Mohamed Abdi,out,in,43.55,463.23,-1255.86
Mamduh Mahmud Salim,out,in,41.57,504.80,-1214.29
Djamal Beghal,out,in,38.59,543.39,-1175.70
Abu Walid,out,in,37.61,581.00,-1138.09
Kamel Daoudi,out,in,36.63,617.63,-1101.46
Jerome Courtaillier,out,in,34.65,652.28,-1066.81
David Courtaillier,out,in,32.67,684.95,-1034.14
Zacarias Moussaoui,out,in,30.69,715.64,-1003.45
Abu Qatada,out,in,29.71,745.35,-973.74
Ahmed Ressam,out,in,26.73,772.08,-947.01
Haydar Aby Doha,out,in,23.75,795.83,-923.26
Mehdi Khammoun,out,in,21.77,817.60,-901.49
Essid Sami Ben Khemais,out,in,19.79,837.39,-881.70
Essoussi Laaroussi,out,in,18.81,856.20,-862.89
Tarek Maaroufi,out,in,16.83,873.03,-846.06
Mohamed Bensakhria,out,in,16.85,889.88,-829.21
Seifallah Ben Hassine,out,in,14.87,904.75,-814.34
Tased Ben Heni,out,in,12.89,917.64,-801.45
Imad Eddin Barakat Yarkas,out,in,8.91,926.55,-792.54
Mamoun Darkazanli,out,in,4.93,931.48,-787.61
Mohammed Belfas,out,in,2.95,934.43,-784.66
Mohand Alshehri,out,in,0.97,935.40,-783.69
