Node Moved,From Cluster,To Cluster,Instantaneous Gain,Accumulated Gain,Potential
45,out,in,49.45,49.45,-1345.25
46,out,in,49.55,99.00,-1295.70
44,out,in,45.65,144.65,-1250.05
60,out,in,42.75,187.40,-1207.30
61,out,in,40.85,228.25,-1166.45
62,out,in,40.95,269.20,-1125.50
01,out,in,36.05,305.25,-1089.45
02,out,in,34.15,339.40,-1055.30
03,out,in,32.25,371.65,-1023.05
20,out,in,30.35,402.00,-992.70
21,out,in,28.45,430.45,-964.25
22,out,in,26.55,457.00,-937.70
25,out,in,24.65,481.65,-913.05
31,out,in,22.75,504.40,-890.30
58,out,in,20.85,525.25,-869.45
50,out,in,18.95,544.20,-850.50
42,out,in,17.05,561.25,-833.45
57,out,in,15.15,576.40,-818.30
41,out,in,13.25,589.65,-805.05
37,out,in,12.35,602.00,-792.70
40,out,in,10.45,612.45,-782.25
51,out,in,8.55,621.00,-773.70
39,out,in,6.65,627.65,-767.05
38,out,in,5.75,633.40,-761.30
08,out,in,0.85,634.25,-760.45
