Node Moved,From Cluster,To Cluster,Instantaneous Gain,Accumulated Gain,Potential
01,out,in,49.35,49.35,-1390.70
02,out,in,47.45,96.80,-1343.25
03,out,in,45.55,142.35,-1297.70
20,out,in,43.65,186.00,-1254.05
21,out,in,41.75,227.75,-1212.30
22,out,in,39.85,267.60,-1172.45
25,out,in,37.95,305.55,-1134.50
31,out,in,36.05,341.60,-1098.45
38,out,in,34.15,375.75,-1064.30
39,out,in,33.25,409.00,-1031.05
41,out,in,30.35,439.35,-1000.70
37,out,in,29.45,468.80,-971.25
50,out,in,26.55,495.35,-944.70
44,out,in,24.65,520.00,-920.05
57,out,in,22.75,542.75,-897.30
04,out,in,19.85,562.60,-877.45
05,out,in,18.95,581.55,-858.50
07,out,in,18.05,599.60,-840.45
06,out,in,16.15,615.75,-824.30
08,out,in,14.25,630.00,-810.05
09,out,in,12.35,642.35,-797.70
10,out,in,11.45,653.80,-786.25
11,out,in,8.55,662.35,-777.70
12,out,in,5.65,668.00,-772.05
13,out,in,3.75,671.75,-768.30
54,in,out,3.25,675.00,-765.05
19,out,in,3.75,678.75,-761.30
16,out,in,2.85,681.60,-758.45
17,out,in,2.95,684.55,-755.50
25,in,out,0.05,684.60,-755.45
14,out,in,0.95,685.55,-754.50
15,out,in,1.05,686.60,-753.45
31,in,out,1.95,688.55,-751.50
18,out,in,1.05,689.60,-750.45
44,in,out,1.95,691.55,-748.50
57,in,out,0.05,691.60,-748.45
23,out,in,0.95,692.55,-747.50
50,in,out,0.05,692.60,-747.45
