01,04
02,04
03,04
04,01
04,02
04,03
04,05
04,06
04,07
04,09
04,10
05,04
05,07
05,10
06,04
06,07
06,08
06,09
07,04
07,05
07,06
07,09
08,06
08,09
09,04
09,06
09,07
09,08
09,10
09,11
09,26
09,30
10,04
10,05
10,09
10,15
10,23
11,09
11,12
12,11
12,13
12,19
13,12
13,16
13,19
14,15
14,19
15,10
15,14
15,16
15,18
15,19
15,23
16,13
16,15
16,17
16,19
17,16
17,19
18,15
18,19
19,12
19,13
19,14
19,15
19,16
19,17
19,18
19,20
19,21
19,22
19,30
20,19
21,19
22,19
23,10
23,15
23,26
23,30
24,26
24,27
25,30
26,09
26,23
26,24
26,27
26,28
26,29
26,30
26,53
26,54
26,55
27,24
27,26
27,30
27,53
27,54
28,26
28,30
28,53
28,55
29,26
29,30
29,53
29,54
29,55
30,09
30,19
30,23
30,25
30,26
30,27
30,28
30,29
30,31
30,32
30,33
30,34
30,36
30,43
30,51
30,52
30,53
30,54
30,55
30,56
30,58
30,59
31,30
32,30
32,33
32,35
32,53
33,30
33,32
33,34
33,35
33,36
33,37
33,52
33,53
34,30
34,33
34,35
34,36
34,52
34,53
35,32
35,33
35,34
35,36
35,52
35,53
36,30
36,33
36,34
36,35
36,52
36,53
37,33
37,41
38,36
38,39
38,40
39,36
39,38
39,40
39,50
40,38
40,39
40,41
40,42
40,43
40,51
41,37
41,40
41,42
41,43
41,50
41,51
41,53
42,40
42,41
42,43
43,30
43,40
43,41
43,42
43,44
43,45
43,46
43,47
43,48
43,49
43,59
44,43
45,43
45,46
45,47
46,43
46,45
46,47
47,43
47,45
47,46
47,48
47,49
47,59
48,43
48,47
48,49
48,59
49,43
49,47
49,48
49,50
49,52
49,53
49,54
49,59
50,39
50,41
50,49
50,52
50,59
51,30
51,40
51,41
51,54
52,30
52,33
52,34
52,35
52,36
52,49
52,50
52,53
52,59
53,26
53,27
53,28
53,29
53,30
53,32
53,33
53,34
53,35
53,36
53,41
53,49
53,52
53,54
53,55
53,56
53,58
53,59
54,26
54,27
54,29
54,30
54,49
54,51
54,53
54,55
54,58
54,59
55,26
55,28
55,29
55,30
55,53
55,54
55,56
56,30
56,53
56,55
56,57
57,56
58,30
58,53
58,54
58,59
58,61
59,30
59,43
59,47
59,48
59,49
59,50
59,52
59,53
59,54
59,58
59,60
59,61
59,62
60,59
60,61
61,58
61,59
61,60
61,62
62,59
62,61
