Node Moved,From Cluster,To Cluster,Instantaneous Gain,Accumulated Gain,Potential
Abu Zubeida,out,in,51.25,51.25,-1439.05
Jean-Marc Grandvisir,out,in,49.35,100.60,-1389.70
Nizar Trabelsi,out,in,47.45,148.05,-1342.25
Fahid al Shakri,out,in,45.55,193.60,-1296.70
Madjid Sahoune,out,in,43.65,237.25,-1253.05
Samir Kishk,out,in,41.75,279.00,-1211.30
Abdelghani Mzoudi,out,in,39.85,318.85,-1171.45
Ahmed Khalil Ibrahim Samir Al-Ani,out,in,37.95,356.80,-1133.50
Mohamed Abdi,out,in,36.05,392.85,-1097.45
Mamduh Mahmud Salim,out,in,34.15,427.00,-1063.30
Mamoun Darkazanli,out,in,31.25,458.25,-1032.05
Djamal Beghal,out,in,29.35,487.60,-1002.70
Abu Walid,out,in,28.45,516.05,-974.25
Kamel Daoudi,out,in,27.55,543.60,-946.70
Jerome Courtaillier,out,in,25.65,569.25,-921.05
David Courtaillier,out,in,23.75,593.00,-897.30
Zacarias Moussaoui,out,in,21.85,614.85,-875.45
Abu Qatada,out,in,20.95,635.80,-854.50
Ahmed Ressam,out,in,18.05,653.85,-836.45
Haydar Aby Doha,out,in,15.15,669.00,-821.30
Mehdi Khammoun,out,in,13.25,682.25,-808.05
Essid Sami Ben Khemais,out,in,11.35,693.60,-796.70
Essoussi Laaroussi,out,in,10.45,704.05,-786.25
Tarek Maaroufi,out,in,8.55,712.60,-777.70
Mohamed Bensakhria,out,in,8.65,721.25,-769.05
Seifallah Ben Hassine,out,in,6.75,728.00,-762.30
Tased Ben Heni,out,in,4.85,732.85,-757.45
Ziad Jarrah,in,out,5.15,738.00,-752.30
Imad Eddin Barakat Yarkas,out,in,2.85,740.85,-749.45
Ahmed Al Haznawi,in,out,1.15,742.00,-748.30
Mohammed Belfas,out,in,0.85,742.85,-747.45
Ahmed Alnami,in,out,0.15,743.00,-747.30
Mohand Alshehri,out,in,0.85,743.85,-746.45
