8,3
3,8
9,5
5,9
9,6
6,9
10,0
0,10
10,2
2,10
13,5
5,13
13,6
6,13
13,9
9,13
14,0
0,14
14,3
3,14
15,0
0,15
16,14
14,16
17,1
1,17
17,6
6,17
17,9
9,17
17,13
13,17
18,15
15,18
19,1
1,19
19,7
7,19
20,8
8,20
20,16
16,20
20,18
18,20
21,18
18,21
22,17
17,22
24,14
14,24
24,15
15,24
24,18
18,24
25,17
17,25
26,1
1,26
26,25
25,26
27,1
1,27
27,7
7,27
27,17
17,27
27,25
25,27
27,26
26,27
28,1
1,28
28,8
8,28
28,20
20,28
29,10
10,29
29,18
18,29
29,21
21,29
29,24
24,29
30,7
7,30
30,19
19,30
30,28
28,30
31,17
17,31
32,9
9,32
32,13
13,32
33,12
12,33
33,14
14,33
33,16
16,33
33,21
21,33
34,14
14,34
34,33
33,34
35,29
29,35
36,1
1,36
36,20
20,36
36,23
23,36
37,8
8,37
37,14
14,37
37,16
16,37
37,21
21,37
37,33
33,37
37,34
34,37
37,36
36,37
38,14
14,38
38,16
16,38
38,20
20,38
38,33
33,38
39,36
36,39
40,0
0,40
40,7
7,40
40,14
14,40
40,15
15,40
40,33
33,40
40,36
36,40
40,37
37,40
41,1
1,41
41,9
9,41
41,13
13,41
42,0
0,42
42,2
2,42
42,10
10,42
42,30
30,42
43,14
14,43
43,29
29,43
43,33
33,43
43,37
37,43
43,38
38,43
44,2
2,44
44,20
20,44
44,34
34,44
44,38
38,44
45,8
8,45
45,15
15,45
45,18
18,45
45,21
21,45
45,23
23,45
45,24
24,45
45,29
29,45
45,37
37,45
46,43
43,46
47,0
0,47
47,10
10,47
47,20
20,47
47,28
28,47
47,30
30,47
47,42
42,47
49,34
34,49
49,46
46,49
50,14
14,50
50,16
16,50
50,20
20,50
50,33
33,50
50,42
42,50
50,45
45,50
51,4
4,51
51,11
11,51
51,18
18,51
51,21
21,51
51,23
23,51
51,24
24,51
51,29
29,51
51,45
45,51
51,50
50,51
52,14
14,52
52,29
29,52
52,38
38,52
52,40
40,52
53,43
43,53
54,1
1,54
54,6
6,54
54,7
7,54
54,13
13,54
54,19
19,54
54,41
41,54
55,15
15,55
55,51
51,55
56,5
5,56
56,6
6,56
57,5
5,57
57,6
6,57
57,9
9,57
57,13
13,57
57,17
17,57
57,39
39,57
57,41
41,57
57,48
48,57
57,54
54,57
58,38
38,58
59,3
3,59
59,8
8,59
59,15
15,59
59,36
36,59
59,45
45,59
60,32
32,60
61,2
2,61
61,37
37,61
61,53
53,61
