Node Moved,From Cluster,To Cluster,Instantaneous Gain,Accumulated Gain,Potential
Abu Zubeida,out,in,56.95,56.95,-1586.50
Jean-Marc Grandvisir,out,in,55.05,112.00,-1531.45
Nizar Trabelsi,out,in,53.15,165.15,-1478.30
Fahid al Shakri,out,in,51.25,216.40,-1427.05
Madjid Sahoune,out,in,49.35,265.75,-1377.70
Samir Kishk,out,in,47.45,313.20,-1330.25
Abdelghani Mzoudi,out,in,45.55,358.75,-1284.70
Ahmed Khalil Ibrahim Samir Al-Ani,out,in,43.65,402.40,-1241.05
Mohamed Abdi,out,in,41.75,444.15,-1199.30
Mamduh Mahmud Salim,out,in,39.85,484.00,-1159.45
Djamal Beghal,out,in,36.95,520.95,-1122.50
Abu Walid,out,in,36.05,557.00,-1086.45
Kamel Daoudi,out,in,35.15,592.15,-1051.30
Jerome Courtaillier,out,in,33.25,625.40,-1018.05
David Courtaillier,out,in,31.35,656.75,-986.70
Zacarias Moussaoui,out,in,29.45,686.20,-957.25
Abu Qatada,out,in,28.55,714.75,-928.70
Ahmed Ressam,out,in,25.65,740.40,-903.05
Haydar Aby Doha,out,in,22.75,763.15,-880.30
Mehdi Khammoun,out,in,20.85,784.00,-859.45
Essid Sami Ben Khemais,out,in,18.95,802.95,-840.50
Mohamed Bensakhria,out,in,18.05,821.00,-822.45
Tased Ben Heni,out,in,18.15,839.15,-804.30
Essoussi Laaroussi,out,in,14.25,853.40,-790.05
Tarek Maaroufi,out,in,14.35,867.75,-775.70
Seifallah Ben Hassine,out,in,12.45,880.20,-763.25
Imad Eddin Barakat Yarkas,out,in,8.55,888.75,-754.70
Mamoun Darkazanli,out,in,4.65,893.40,-750.05
Mohammed Belfas,out,in,2.75,896.15,-747.30
Mohand Alshehri,out,in,0.85,897.00,-746.45
