Node Moved,From Cluster,To Cluster,Instantaneous Gain,Accumulated Gain,Potential
Fayez Ahmed,out,in,50.35,50.35,-1389.70
Mohand Alshehri,out,in,48.45,98.80,-1341.25
Mustafa Ahmed al-Hisawi,out,in,46.55,145.35,-1294.70
Abu Zubeida,out,in,43.65,189.00,-1251.05
Jean-Marc Grandvisir,out,in,41.75,230.75,-1209.30
Nizar Trabelsi,out,in,39.85,270.60,-1169.45
Fahid al Shakri,out,in,37.95,308.55,-1131.50
Madjid Sahoune,out,in,36.05,344.60,-1095.45
Samir Kishk,out,in,34.15,378.75,-1061.30
Abdelghani Mzoudi,out,in,32.25,411.00,-1029.05
Ahmed Khalil Ibrahim Samir Al-Ani,out,in,30.35,441.35,-998.70
Mohamed Abdi,out,in,28.45,469.80,-970.25
Raed Hijazi,out,in,26.55,496.35,-943.70
Nabil al-Marabh,out,in,25.65,522.00,-918.05
Mamduh Mahmud Salim,out,in,22.75,544.75,-895.30
Ahmed Alghamdi,out,in,20.85,565.60,-874.45
Mamoun Darkazanli,out,in,17.95,583.55,-856.50
Djamal Beghal,out,in,16.05,599.60,-840.45
Abu Walid,out,in,15.15,614.75,-825.30
Kamel Daoudi,out,in,14.25,629.00,-811.05
Jerome Courtaillier,out,in,12.35,641.35,-798.70
David Courtaillier,out,in,10.45,651.80,-788.25
Zacarias Moussaoui,out,in,8.55,660.35,-779.70
Abu Qatada,out,in,7.65,668.00,-772.05
Ahmed Ressam,out,in,4.75,672.75,-767.30
Haydar Aby Doha,out,in,1.85,674.60,-765.45
