iteration,node moved,to group,instantaneous gain,            accumulated gain,potential,abs gain %,yes verts,no verts,yes edges,            no edges,verts %,edges %,potential propor %,consults,performance %
1,3,yes,2.95,2.95,-216.40,+1.36%,18,16,15,25,52.94%,                37.50%,60.24%,5,40.00%
2,4,no,0.05,3.00,-216.35,+0.02%,17,17,13,29,50.00%,                30.95%,53.71%,2,100.00%
3,7,yes,4.95,7.95,-211.40,+2.34%,18,16,15,28,52.94%,                34.88%,61.66%,4,50.00%
4,12,yes,1.05,9.00,-210.35,+0.50%,17,17,15,32,50.00%,                31.91%,54.29%,5,40.00%
5,19,yes,0.15,9.15,-210.20,+0.07%,16,18,15,34,47.06%,                30.61%,47.10%,4,50.00%
6,21,no,0.85,10.00,-209.35,+0.41%,15,19,15,37,44.12%,                28.85%,40.48%,2,100.00%
7,27,no,0.95,10.95,-208.40,+0.46%,16,18,15,35,47.06%,                30.00%,47.50%,5,40.00%
8,28,yes,0.05,11.00,-208.35,+0.02%,17,17,17,33,50.00%,                34.00%,53.85%,2,100.00%
9,32,yes,1.15,12.15,-207.20,+0.56%,16,18,16,35,47.06%,                31.37%,47.30%,2,100.00%
10,14,no,0.85,13.00,-206.35,+0.41%,15,19,12,43,44.12%,                21.82%,42.52%,4,50.00%
11,29,no,0.95,13.95,-205.40,+0.46%,16,18,12,41,47.06%,                22.64%,49.66%,8,25.00%
12,21,yes,1.05,15.00,-204.35,+0.51%,17,17,14,39,50.00%,                26.42%,56.37%,19,10.53%
13,32,no,0.95,15.95,-203.40,+0.47%,16,18,14,41,47.06%,                25.45%,49.16%,7,28.57%
14,33,no,2.05,18.00,-201.35,+1.02%,17,17,20,35,50.00%,                36.36%,54.23%,3,66.67%
15,9,yes,0.95,18.95,-200.40,+0.47%,18,16,30,28,52.94%,                51.72%,57.56%,30,6.67%
16,28,no,0.05,19.00,-200.35,+0.02%,17,17,29,29,50.00%,                50.00%,50.01%,3,66.67%
