Node Moved,From Cluster,To Cluster,Instantaneous Gain,Accumulated Gain,Potential
Abu Zubeida,out,in,53.90,53.90,-1495.00
Jean-Marc Grandvisir,out,in,52.10,106.00,-1442.90
Nizar Trabelsi,out,in,50.30,156.30,-1392.60
Fahid al Shakri,out,in,48.50,204.80,-1344.10
Madjid Sahoune,out,in,46.70,251.50,-1297.40
Samir Kishk,out,in,44.90,296.40,-1252.50
Abdelghani Mzoudi,out,in,43.10,339.50,-1209.40
Ahmed Khalil Ibrahim Samir Al-Ani,out,in,41.30,380.80,-1168.10
Mohamed Abdi,out,in,39.50,420.30,-1128.60
Mamduh Mahmud Salim,out,in,37.70,458.00,-1090.90
Mamoun Darkazanli,out,in,34.90,492.90,-1056.00
Djamal Beghal,out,in,33.10,526.00,-1022.90
Abu Walid,out,in,32.30,558.30,-990.60
Kamel Daoudi,out,in,31.50,589.80,-959.10
Jerome Courtaillier,out,in,29.70,619.50,-929.40
David Courtaillier,out,in,27.90,647.40,-901.50
Zacarias Moussaoui,out,in,26.10,673.50,-875.40
Abu Qatada,out,in,25.30,698.80,-850.10
Ahmed Ressam,out,in,22.50,721.30,-827.60
Haydar Aby Doha,out,in,19.70,741.00,-807.90
Mehdi Khammoun,out,in,17.90,758.90,-790.00
Essid Sami Ben Khemais,out,in,16.10,775.00,-773.90
Mohamed Bensakhria,out,in,15.30,790.30,-758.60
Tased Ben Heni,out,in,15.50,805.80,-743.10
Tarek Maaroufi,out,in,11.70,817.50,-731.40
Essoussi Laaroussi,out,in,11.90,829.40,-719.50
Seifallah Ben Hassine,out,in,10.10,839.50,-709.40
Imad Eddin Barakat Yarkas,out,in,6.30,845.80,-703.10
Mohammed Belfas,out,in,2.50,848.30,-700.60
Mohand Alshehri,out,in,0.70,849.00,-699.90
