Node Moved,From Cluster,To Cluster,Instantaneous Gain,Accumulated Gain,Potential
01,out,in,56.95,56.95,-1586.50
02,out,in,55.05,112.00,-1531.45
03,out,in,53.15,165.15,-1478.30
20,out,in,51.25,216.40,-1427.05
21,out,in,49.35,265.75,-1377.70
22,out,in,47.45,313.20,-1330.25
25,out,in,45.55,358.75,-1284.70
31,out,in,43.65,402.40,-1241.05
44,out,in,41.75,444.15,-1199.30
57,out,in,39.85,484.00,-1159.45
04,out,in,36.95,520.95,-1122.50
05,out,in,36.05,557.00,-1086.45
07,out,in,35.15,592.15,-1051.30
06,out,in,33.25,625.40,-1018.05
08,out,in,31.35,656.75,-986.70
09,out,in,29.45,686.20,-957.25
10,out,in,28.55,714.75,-928.70
11,out,in,25.65,740.40,-903.05
12,out,in,22.75,763.15,-880.30
13,out,in,20.85,784.00,-859.45
19,out,in,18.95,802.95,-840.50
16,out,in,18.05,821.00,-822.45
17,out,in,18.15,839.15,-804.30
14,out,in,14.25,853.40,-790.05
15,out,in,14.35,867.75,-775.70
18,out,in,12.45,880.20,-763.25
23,out,in,8.55,888.75,-754.70
56,out,in,4.65,893.40,-750.05
24,out,in,2.75,896.15,-747.30
37,out,in,0.85,897.00,-746.45
