Node Moved,From Cluster,To Cluster,Instantaneous Gain,Accumulated Gain,Potential
11,out,in,31.67,31.67,-445.72
12,out,in,28.69,60.36,-417.03
17,out,in,26.71,87.07,-390.32
21,out,in,24.73,111.80,-365.59
9,out,in,22.75,134.55,-342.84
16,out,in,20.77,155.32,-322.07
14,out,in,18.79,174.11,-303.28
5,out,in,16.81,190.92,-286.47
6,out,in,16.83,207.75,-269.64
4,out,in,13.85,221.60,-255.79
10,out,in,13.87,235.47,-241.92
0,out,in,10.89,246.36,-231.03
19,out,in,7.91,254.27,-223.12
1,out,in,5.93,260.20,-217.19
3,out,in,4.95,265.15,-212.24
7,out,in,4.97,270.12,-207.27
13,out,in,1.99,272.11,-205.28
2,out,in,1.01,273.12,-204.27
14,in,out,2.99,276.11,-201.28
