Node Moved,From Cluster,To Cluster,Instantaneous Gain,Accumulated Gain,Potential
11,out,in,30.35,30.35,-424.60
12,out,in,27.45,57.80,-397.15
17,out,in,25.55,83.35,-371.60
21,out,in,23.65,107.00,-347.95
9,out,in,21.75,128.75,-326.20
16,out,in,19.85,148.60,-306.35
5,out,in,17.95,166.55,-288.40
6,out,in,18.05,184.60,-270.35
4,out,in,15.15,199.75,-255.20
10,out,in,15.25,215.00,-239.95
0,out,in,12.35,227.35,-227.60
19,out,in,9.45,236.80,-218.15
1,out,in,7.55,244.35,-210.60
3,out,in,6.65,251.00,-203.95
7,out,in,6.75,257.75,-197.20
13,out,in,3.85,261.60,-193.35
2,out,in,2.95,264.55,-190.40
