Node Moved,From Cluster,To Cluster,Instantaneous Gain,Accumulated Gain,Potential
Abu Zubeida,out,in,49.35,49.35,-1399.70
Jean-Marc Grandvisir,out,in,47.45,96.80,-1352.25
Nizar Trabelsi,out,in,45.55,142.35,-1306.70
Fahid al Shakri,out,in,43.65,186.00,-1263.05
Madjid Sahoune,out,in,41.75,227.75,-1221.30
Samir Kishk,out,in,39.85,267.60,-1181.45
Abdelghani Mzoudi,out,in,37.95,305.55,-1143.50
Ahmed Khalil Ibrahim Samir Al-Ani,out,in,36.05,341.60,-1107.45
Ahmed Alnami,out,in,34.15,375.75,-1073.30
Mohamed Abdi,out,in,32.25,408.00,-1041.05
Mamduh Mahmud Salim,out,in,30.35,438.35,-1010.70
Mamoun Darkazanli,out,in,29.45,467.80,-981.25
Djamal Beghal,out,in,25.55,493.35,-955.70
Abu Walid,out,in,24.65,518.00,-931.05
Kamel Daoudi,out,in,23.75,541.75,-907.30
Jerome Courtaillier,out,in,21.85,563.60,-885.45
David Courtaillier,out,in,19.95,583.55,-865.50
Zacarias Moussaoui,out,in,18.05,601.60,-847.45
Abu Qatada,out,in,17.15,618.75,-830.30
Ahmed Ressam,out,in,14.25,633.00,-816.05
Haydar Aby Doha,out,in,11.35,644.35,-804.70
Mehdi Khammoun,out,in,9.45,653.80,-795.25
Essid Sami Ben Khemais,out,in,7.55,661.35,-787.70
Mohamed Bensakhria,out,in,6.65,668.00,-781.05
Marwan Al-Shehhi,in,out,7.35,675.35,-773.70
Tased Ben Heni,out,in,8.65,684.00,-765.05
Tarek Maaroufi,out,in,4.75,688.75,-760.30
Essoussi Laaroussi,out,in,4.85,693.60,-755.45
Seifallah Ben Hassine,out,in,2.95,696.55,-752.50
Ahmed Alghamdi,in,out,2.05,698.60,-750.45
Imad Eddin Barakat Yarkas,out,in,0.95,699.55,-749.50
Hamza Alghamdi,in,out,2.05,701.60,-747.45
Ahmed Alnami,in,out,0.15,701.75,-747.30
Mohammed Belfas,out,in,0.85,702.60,-746.45
