Node Moved,From Cluster,To Cluster,Instantaneous Gain,Accumulated Gain,Potential
Mustafa Ahmed al-Hisawi,in,out,23.95,23.95,-864.50
Lotfi Raissi,in,out,21.05,45.00,-843.45
Nabil al-Marabh,in,out,18.15,63.15,-825.30
Raed Hijazi,in,out,17.25,80.40,-808.05
Abdelghani Mzoudi,in,out,13.35,93.75,-794.70
Abdussattar Shaikh,in,out,11.45,105.20,-783.25
Osama Awadallah,in,out,11.55,116.75,-771.70
Agus Budiman,in,out,7.65,124.40,-764.05
Ahmed Khalil Ibrahim Samir Al-Ani,in,out,5.75,130.15,-758.30
Mohamed Abdi,in,out,3.85,134.00,-754.45
Zakariya Essabar,in,out,1.95,135.95,-752.50
Abu Zubeida,out,in,0.05,136.00,-752.45
Said Bahaji,in,out,1.95,137.95,-750.50
Ramzi Bin al-Shibh,in,out,1.05,139.00,-749.45
Mounir El Motassadeq,in,out,1.15,140.15,-748.30
Abdelghani Mzoudi,out,in,1.85,142.00,-746.45
